ID_VOTACAO,POLITICO,VOTO,PARTIDO,ORIENTACAO_GOVERNO,RICE
2bad3fc3dcab6aea8cf8d2f334c2d545,ATILA LIRA,SIM,PSB,NAO,0
2bad3fc3dcab6aea8cf8d2f334c2d545,CHRISTIANE DE SOUZA YARED,SIM,PTN,NAO,0
2bad3fc3dcab6aea8cf8d2f334c2d545,VANDER LOUBET,NAO,PT,NAO,1
2bad3fc3dcab6aea8cf8d2f334c2d545,BACELAR,NAO,PTN,NAO,1
2bad3fc3dcab6aea8cf8d2f334c2d545,PEDRO CUNHA LIMA,SIM,PSDB,NAO,0
2bad3fc3dcab6aea8cf8d2f334c2d545,GEOVANIA DE SA,SIM,PSDB,NAO,0
2bad3fc3dcab6aea8cf8d2f334c2d545,MAURO MARIANI,SIM,PMDB,NAO,0
2bad3fc3dcab6aea8cf8d2f334c2d545,CAIO NARCIO,SIM,PSDB,NAO,0
2bad3fc3dcab6aea8cf8d2f334c2d545,BETINHO GOMES,SIM,PSDB,NAO,0
2bad3fc3dcab6aea8cf8d2f334c2d545,RAIMUNDO GOMES DE MATOS,SIM,PSDB,NAO,0
2bad3fc3dcab6aea8cf8d2f334c2d545,FABIO RAMALHO,SIM,PV,NAO,0
2bad3fc3dcab6aea8cf8d2f334c2d545,ROGERIO ROSSO,SIM,PSD,NAO,0
2bad3fc3dcab6aea8cf8d2f334c2d545,OTAVIO LEITE,SIM,PSDB,NAO,0
2bad3fc3dcab6aea8cf8d2f334c2d545,MIGUEL LOMBARDI,SIM,PR,NAO,0
2bad3fc3dcab6aea8cf8d2f334c2d545,OSMAR TERRA,SIM,PMDB,NAO,0
2bad3fc3dcab6aea8cf8d2f334c2d545,MARIO NEGROMONTE JUNIOR,SIM,PP,NAO,0
2bad3fc3dcab6aea8cf8d2f334c2d545,GIUSEPPE VECCI,SIM,PSDB,NAO,0
2bad3fc3dcab6aea8cf8d2f334c2d545,SAGUAS MORAES,NAO,PT,NAO,1
2bad3fc3dcab6aea8cf8d2f334c2d545,CARLOS ZARATTINI,NAO,PT,NAO,1
2bad3fc3dcab6aea8cf8d2f334c2d545,DELEY,SIM,PTB,NAO,0
2bad3fc3dcab6aea8cf8d2f334c2d545,ALUISIO MENDES,NAO,PSDC,NAO,1
2bad3fc3dcab6aea8cf8d2f334c2d545,RONALDO CARLETTO,SIM,PP,NAO,0
2bad3fc3dcab6aea8cf8d2f334c2d545,LUCIO VALE,NAO,PR,NAO,1
2bad3fc3dcab6aea8cf8d2f334c2d545,FABIO MITIDIERI,SIM,PSD,NAO,0
2bad3fc3dcab6aea8cf8d2f334c2d545,JOSE NUNES,SIM,PSD,NAO,0
2bad3fc3dcab6aea8cf8d2f334c2d545,ATILA LINS,NAO,PSD,NAO,1
2bad3fc3dcab6aea8cf8d2f334c2d545,RUBENS BUENO,SIM,PPS,NAO,0
2bad3fc3dcab6aea8cf8d2f334c2d545,JULIO DELGADO,SIM,PSB,NAO,0
2bad3fc3dcab6aea8cf8d2f334c2d545,GONZAGA PATRIOTA,SIM,PSB,NAO,0
2bad3fc3dcab6aea8cf8d2f334c2d545,SARAIVA FELIPE,NAO,PMDB,NAO,1
2bad3fc3dcab6aea8cf8d2f334c2d545,JOSE CARLOS ALELUIA,NAO,DEM,NAO,1
2bad3fc3dcab6aea8cf8d2f334c2d545,RONALDO LESSA,SIM,PDT,NAO,0
2bad3fc3dcab6aea8cf8d2f334c2d545,MARCELO BELINATI,SIM,PP,NAO,0
2bad3fc3dcab6aea8cf8d2f334c2d545,ALTINEU CORTES,NAO,PR,NAO,1
2bad3fc3dcab6aea8cf8d2f334c2d545,JOAO FERNANDO COUTINHO,SIM,PSB,NAO,0
2bad3fc3dcab6aea8cf8d2f334c2d545,RODRIGO PACHECO,SIM,PMDB,NAO,0
2bad3fc3dcab6aea8cf8d2f334c2d545,CELIO SILVEIRA,SIM,PSDB,NAO,0
2bad3fc3dcab6aea8cf8d2f334c2d545,JOAO PAULO PAPA,SIM,PSDB,NAO,0
2bad3fc3dcab6aea8cf8d2f334c2d545,ANTONIO JACOME,SIM,PMN,NAO,0
2bad3fc3dcab6aea8cf8d2f334c2d545,EDUARDO BARBOSA,SIM,PSDB,NAO,0
2bad3fc3dcab6aea8cf8d2f334c2d545,ALEX MANENTE,SIM,PPS,NAO,0
2bad3fc3dcab6aea8cf8d2f334c2d545,PAULO MAGALHAES,NAO,PSD,NAO,1
