"bancada","01/01/1999-30/06/1999","01/07/1999-31/12/1999","01/01/2000-30/06/2000","01/07/2000-31/12/2000","01/01/2001-30/06/2001","01/07/2001-31/12/2001","01/01/2002-30/06/2002","01/07/2002-31/12/2002","01/01/2003-30/06/2003","01/07/2003-31/12/2003","01/01/2004-30/06/2004","01/07/2004-31/12/2004","01/01/2005-30/06/2005","01/07/2005-31/12/2005","01/01/2006-30/06/2006","01/07/2006-31/12/2006","01/01/2007-30/06/2007","01/07/2007-31/12/2007","01/01/2008-30/06/2008","01/07/2008-31/12/2008","01/01/2009-30/06/2009","01/07/2009-31/12/2009","01/01/2010-30/06/2010","01/07/2010-31/12/2010","01/01/2011-30/06/2011","01/07/2011-31/12/2011","01/01/2012-30/06/2012","01/07/2012-31/12/2012","01/01/2013-30/06/2013","01/07/2013-31/12/2013"
"PTB","81.35593220338983","77.77777777777777","91.83673469387755","88.23529411764706","100.0","88.23529411764706","77.27272727272727","71.42857142857143","90.625","95.23809523809524","95.16129032258064","80.0","78.37837837837837","71.875","85.36585365853658","95.23809523809524","96.1038961038961","89.81481481481481","87.01298701298701","86.20689655172414","79.66101694915254","85.71428571428571","81.08108108108108","100.0","93.93939393939394","88.0","73.07692307692308","78.57142857142857","65.71428571428571","68.88888888888889"
"PEN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100.0","79.62962962962963","86.95652173913044"
"PTN","0","57.142857142857146","100.0","88.23529411764706","100.0","100.0","0","100.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"PL","69.81132075471699","48.888888888888886","59.183673469387756","58.8235294117647","51.111111111111114","73.52941176470588","50.0","85.71428571428571","93.75","93.33333333333333","96.7741935483871","79.54545454545455","75.67567567567568","74.19354838709677","97.5609756097561","95.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"PRTB","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100.0","100.0","0","0","0","96.96969696969697","83.33333333333333","65.38461538461539","42.857142857142854","77.14285714285714","78.94736842105263"
"PMR","0","0","0","0","0","0","0","0","0","0","0","0","0","100.0","76.47058823529412","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"PV","41.935483870967744","61.904761904761905","70.96774193548387","83.33333333333333","47.05882352941177","100.0","0","0","88.88888888888889","93.87755102040816","85.96491228070175","95.45454545454545","35.13513513513514","51.61290322580645","65.85365853658537","66.66666666666667","90.9090909090909","90.74074074074075","72.72727272727273","91.2280701754386","69.49152542372882","87.67123287671232","72.97297297297297","100.0","18.181818181818183","18.0","65.38461538461539","23.214285714285715","75.0","77.77777777777777"
"PSTU","25.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"PR","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","92.20779220779221","90.74074074074075","93.50649350649351","93.10344827586206","81.35593220338983","89.04109589041096","91.89189189189189","92.85714285714286","96.96969696969697","76.0","65.38461538461539","42.857142857142854","77.14285714285714","86.66666666666667"
"PP","0","0","0","0","0","0","0","0","100.0","92.38095238095238","82.25806451612904","82.22222222222223","81.08108108108108","68.75","87.8048780487805","95.23809523809524","94.8051948051948","92.5925925925926","92.20779220779221","89.65517241379311","81.35593220338983","87.67123287671232","89.1891891891892","100.0","93.93939393939394","92.0","92.3076923076923","91.07142857142857","72.85714285714286","84.44444444444444"
"PAN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","95.23809523809524","0","0","0","0","0","0","0","0","0","0","0","0","0"
"PTDOB","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100.0","85.71428571428571","100.0","100.0","83.33333333333333","100.0","88.88888888888889","100.0","96.96969696969697","76.0","65.38461538461539","42.857142857142854","77.14285714285714","86.66666666666667"
