"POLITICO";"NOME_CASA";"PARTIDO";"UF";"ID";"ANO_MANDATO";"LEGISLATURA";"URL_FOTO";"ARQUIVO_FOTO";"B_RUR";"B_EV";"B_AMB"
"Joao Ribeiro";"Joao Ribeiro";"PR";"TO";916;"--";"54/55";"http://www.senado.gov.br/senadores/img/fotos/bemv916.jpg";;"True";;
"Joao Vicente Claudino";"Joao Vicente Claudino";"PTB";"PI";4541;"--";"53/54";"http://www.senado.gov.br/senadores/img/fotos/bemv4541.jpg";;;;"True"
"Joaquim Roriz";"Joaquim Roriz";"PMDB";"DF";4533;"--";"53/54";"http://www.senado.gov.br/senadores/img/fotos/bemv4533.jpg";;;;
"Jorge Viana";"Jorge Viana";"PT";"AC";4990;"--";"54/55";"http://www.senado.gov.br/senadores/img/fotos/bemv4990.jpg";;;;
"Jose Agripino";"Jose Agripino";"DEM";"RN";40;"--";"54/55";"http://www.senado.gov.br/senadores/img/fotos/bemv40.jpg";;;;
"Jose Pimentel";"Jose Pimentel";"PT";"CE";615;"--";"54/55";"http://www.senado.gov.br/senadores/img/fotos/bemv615.jpg";;;;
"Jose Sarney";"Jose Sarney";"PMDB";"AP";47;"--";"53/54";"http://www.senado.gov.br/senadores/img/fotos/bemv47.jpg";;;;"True"
"Katia Abreu";"Katia Abreu";"PSD";"TO";1249;"--";"53/54";"http://www.senado.gov.br/senadores/img/fotos/bemv1249.jpg";;"True";;
"Lauro Antonio";"Lauro Antonio";"PR";"SE";5156;"--";"54/55";"http://www.senado.gov.br/senadores/img/fotos/bemv5156.jpg";;;;
"Lidice da Mata";"Lidice da Mata";"PSB";"BA";4575;"--";"54/55";"http://www.senado.gov.br/senadores/img/fotos/bemv4575.jpg";;;;"True"
"Lindbergh Farias";"Lindbergh Farias";"PT";"RJ";3695;"--";"54/55";"http://www.senado.gov.br/senadores/img/fotos/bemv3695.jpg";;;;
"Lobao Filho";"Lobao Filho";"PMDB";"MA";3579;"--";"54/55";"http://www.senado.gov.br/senadores/img/fotos/bemv3579.jpg";;;;
"Lucia Vania";"Lucia Vania";"PSDB";"GO";643;"--";"54/55";"http://www.senado.gov.br/senadores/img/fotos/bemv643.jpg";;;;
"Luiz Henrique";"Luiz Henrique";"PMDB";"SC";5002;"--";"54/55";"http://www.senado.gov.br/senadores/img/fotos/bemv5002.jpg";;;;
"Magno Malta";"Magno Malta";"PR";"ES";631;"--";"54/55";"http://www.senado.gov.br/senadores/img/fotos/bemv631.jpg";;;"True";
"Marcelo Crivella";"Marcelo Crivella";"PRB";"RJ";3366;"--";"54/55";"http://www.senado.gov.br/senadores/img/fotos/bemv3366.jpg";;;"True";
"Marco Antonio Costa";"Marco Antonio Costa";"DEM";"TO";4788;"--";"53/54";"http://www.senado.gov.br/senadores/img/fotos/bemv4788.jpg";;;;
"Marconi Perillo";"Marconi Perillo";"PSDB";"GO";4535;"--";"53/54";"http://www.senado.gov.br/senadores/img/fotos/bemv4535.jpg";;;;
"Maria do Carmo Alves";"Maria do Carmo Alves";"DEM";"SE";1023;"--";"53/54";"http://www.senado.gov.br/senadores/img/fotos/bemv1023.jpg";;;;
"Marinor Brito";"Marinor Brito";"PSOL";"PA";4998;"--";"54/55";"http://www.senado.gov.br/senadores/img/fotos/bemv4998.jpg";;;;"True"
"Mario Couto";"Mario Couto";"PSDB";"PA";4539;"--";"53/54";"http://www.senado.gov.br/senadores/img/fotos/bemv4539.jpg";;;;
"Marisa Serrano";"Marisa Serrano";"PSDB";"MS";527;"--";"53/54";"http://www.senado.gov.br/senadores/img/fotos/bemv527.jpg";;;;
"Marta Suplicy";"Marta Suplicy";"PT";"SP";5000;"--";"54/55";"http://www.senado.gov.br/senadores/img/fotos/bemv5000.jpg";;;;
"Mozarildo Cavalcanti";"Mozarildo Cavalcanti";"PTB";"RR";952;"--";"53/54";"http://www.senado.gov.br/senadores/img/fotos/bemv952.jpg";;;;
"Niura Demarchi";"Niura Demarchi";"PSDB";"SC";4961;"--";"53/54";"http://www.senado.gov.br/senadores/img/fotos/bemv4961.jpg";;;;
"Osvaldo Sobrinho";"Osvaldo Sobrinho";"PTB";"MT";1210;"--";"53/54";"http://www.senado.gov.br/senadores/img/fotos/bemv1210.jpg";;;;
"Paulo Bauer";"Paulo Bauer";"PSDB";"SC";3741;"--";"54/55";"http://www.senado.gov.br/senadores/img/fotos/bemv3741.jpg";;;;
"Paulo Davim";"Paulo Davim";"PV";"RN";5020;"--";"54/55";"http://www.senado.gov.br/senadores/img/fotos/bemv5020.jpg";;;;"True"
"Paulo Paim";"Paulo Paim";"PT";"RS";825;"--";"54/55";"http://www.senado.gov.br/senadores/img/fotos/bemv825.jpg";;;;"True"
"Pedro Simon";"Pedro Simon";"PMDB";"RS";68;"--";"53/54";"http://www.senado.gov.br/senadores/img/fotos/bemv68.jpg";;;;
"Pedro Taques";"Pedro Taques";"PDT";"MT";5010;"--";"54/55";"http://www.senado.gov.br/senadores/img/fotos/bemv5010.jpg";;;;"True"
"Raimundo Colombo";"Raimundo Colombo";"DEM";"SC";1206;"--";"53/54";"http://www.senado.gov.br/senadores/img/fotos/bemv1206.jpg";;;;
"Randolfe Rodrigues";"Randolfe Rodrigues";"PSOL";"AP";5012;"--";"54/55";"http://www.senado.gov.br/senadores/img/fotos/bemv5012.jpg";;;;
"Reditario Cassol";"Reditario Cassol";"PP";"RO";5072;"--";"54/55";"http://www.senado.gov.br/senadores/img/fotos/bemv5072.jpg";;;;
"Renan Calheiros";"Renan Calheiros";"PMDB";"AL";70;"--";"54/55";"http://www.senado.gov.br/senadores/img/fotos/bemv70.jpg";;;;
"Renato Casagrande";"Renato Casagrande";"PSB";"ES";3868;"--";"53/54";"http://www.senado.gov.br/senadores/img/fotos/bemv3868.jpg";;;;
"Ricardo Ferraco";"Ricardo Ferraco";"PMDB";"ES";635;"--";"54/55";"http://www.senado.gov.br/senadores/img/fotos/bemv635.jpg";;;;
"Roberto Requiao";"Roberto Requiao";"PMDB";"PR";72;"--";"54/55";"http://www.senado.gov.br/senadores/img/fotos/bemv72.jpg";;;;"True"
"Rodrigo Rollemberg";"Rodrigo Rollemberg";"PSB";"DF";4593;"--";"54/55";"http://www.senado.gov.br/senadores/img/fotos/bemv4593.jpg";;;;"True"
"Romero Juca";"Romero Juca";"PMDB";"RR";73;"--";"54/55";"http://www.senado.gov.br/senadores/img/fotos/bemv73.jpg";;;;"True"
"Rosalba Ciarlini";"Rosalba Ciarlini";"DEM";"RN";4543;"--";"53/54";"http://www.senado.gov.br/senadores/img/fotos/bemv4543.jpg";;;;
"Sergio Petecao";"Sergio Petecao";"PSD";"AC";4560;"--";"54/55";"http://www.senado.gov.br/senadores/img/fotos/bemv4560.jpg";;;;"True"
"Sergio Souza";"Sergio Souza";"PMDB";"PR";5048;"--";"54/55";"http://www.senado.gov.br/senadores/img/fotos/bemv5048.jpg";;"True";;
"Tiao Viana";"Tiao Viana";"PT";"AC";982;"--";"53/54";"http://www.senado.gov.br/senadores/img/fotos/bemv982.jpg";;;;
"Valdir Raupp";"Valdir Raupp";"PMDB";"RO";3372;"--";"54/55";"http://www.senado.gov.br/senadores/img/fotos/bemv3372.jpg";;"True";;
"Vanessa Grazziotin";"Vanessa Grazziotin";"PC DO B";"AM";558;"--";"54/55";"http://www.senado.gov.br/senadores/img/fotos/bemv558.jpg";;;;"True"
"Vicentinho Alves";"Vicentinho Alves";"PR";"TO";4763;"--";"54/55";"http://www.senado.gov.br/senadores/img/fotos/bemv4763.jpg";;;;
"Virginio de Carvalho";"Virginio de Carvalho";"PSC";"SE";4786;"--";"53/54";"http://www.senado.gov.br/senadores/img/fotos/bemv4786.jpg";;;;
"Vital do Rego";"Vital do Rego";"PMDB";"PB";4645;"--";"54/55";"http://www.senado.gov.br/senadores/img/fotos/bemv4645.jpg";;;;
"Waldemir Moka";"Waldemir Moka";"PMDB";"MS";1176;"--";"54/55";"http://www.senado.gov.br/senadores/img/fotos/bemv1176.jpg";;"True";;
