"ID_VOTACAO";"POLITICO";"PARTIDO";"VOTO"
"5250";"João Vicente Claudino";"PTB";"Não"
"5250";"Jarbas Vasconcelos";"PMDB";"Não"
"5250";"Sérgio Petecão";"PSD";"P-NRV"
"5250";"Lídice da Mata";"PSB";"LS "
"5250";"Rodrigo Rollemberg";"PSB";"Não"
"5250";"Vital do Rêgo";"PMDB";"Não"
"5250";"Angela Portela";"PT";"Não"
"5250";"Eduardo Amorim";"PSC";"Não"
"5250";"Anibal Diniz";"PT";"Não"
"5250";"Ana Rita";"PT";"Não"
"5250";"Cyro Miranda";"PSDB";"Não"
"5250";"Cidinho Santos";"PR";"Não"
"5250";"Zeze Perrella";"PDT";"P-NRV"
"5250";"Ataídes Oliveira";"PROS";"P-NRV"
"5250";"Lobão Filho";"PMDB";"P-NRV"
"5250";"Ivonete Dantas";"PMDB";"Não"
"5250";"Clésio Andrade";"PMDB";"P-NRV"
"5250";"Luiz Henrique";"PMDB";"P-NRV"
"5250";"Ivo Cassol";"PP";"Não"
"5250";"Gleisi Hoffmann";"PT";"Sim"
"5250";"Humberto Costa";"PT";"P-NRV"
"5250";"Pedro Taques";"PDT";"Não"
"5250";"Randolfe Rodrigues";"PSOL";"Não"
"5250";"Jorge Viana";"PT";"Não"
"5250";"Eduardo Braga";"PMDB";"Sim"
"5250";"Paulo Davim";"PV";"Não"
"5250";"Cássio Cunha Lima";"PSDB";"Não"
"5250";"Acir Gurgacz";"PDT";"P-NRV"
"5250";"Wellington Dias";"PT";"Não"
"5250";"Ana Amélia";"PP";"Não"
"5250";"Ruben Figueiró";"PSDB";"Não"
"5250";"Wilder Morais";"DEM";"NCom"
"5250";"Antonio Carlos Rodrigues";"PR";"P-NRV"
"5248";"José Sarney";"PMDB";"P-NRV"
"5248";"Epitácio Cafeteira";"PTB";"Sim"
"5248";"José Agripino";"DEM";"Sim"
"5248";"Renan Calheiros";"PMDB";"Presidente (art. 51 RISF)"
"5248";"Jader Barbalho";"PMDB";"Sim"
"5248";"Pedro Simon";"PMDB";"Sim"
"5248";"Paulo Paim";"PT";"Sim"
"5248";"Romero Jucá";"PMDB";"Sim"
"5248";"Eduardo Suplicy";"PT";"Não"
"5248";"Eunício Oliveira";"PMDB";"Sim"
"5248";"Armando Monteiro";"PTB";"Sim"
"5248";"Aécio Neves";"PSDB";"Sim"
"5248";"Vanessa Grazziotin";"PCdoB";"P-NRV"
"5248";"Inácio Arruda";"PCdoB";"Sim"
"5248";"José Pimentel";"PT";"Sim"
"5248";"Lúcia Vânia";"PSDB";"Sim"
"5248";"Ciro Nogueira";"PP";"Sim"
"5248";"Casildo Maldaner";"PMDB";"Sim"
"5248";"Roberto Requião";"PMDB";"MIS"
"5248";"Walter Pinheiro";"PT";"P-NRV"
"5248";"Ricardo Ferraço";"PMDB";"P-NRV"
"5248";"João Alberto Souza";"PMDB";"P-NRV"
"5248";"Alvaro Dias";"PSDB";"Abstenção"
"5248";"Maria do Carmo Alves";"DEM";"Sim"
"5248";"Francisco Dornelles";"PP";"Sim"
"5248";"Antonio Carlos Valadares";"PSB";"Sim"
"5248";"Magno Malta";"PR";"AP "
"5248";"Waldemir Moka";"PMDB";"Sim"
"5248";"Kátia Abreu";"PMDB";"P-NRV"
"5248";"Gim";"PTB";"Sim"
"5248";"Lindbergh Farias";"PT";"Sim"
"5248";"Paulo Bauer";"PSDB";"Sim"
"5248";"Aloysio Nunes Ferreira";"PSDB";"Sim"
"5248";"João Capiberibe";"PSB";"Sim"
"5248";"Valdir Raupp";"PMDB";"Sim"
"5248";"Marcelo Crivella";"PRB";"AP "
"5248";"Delcídio do Amaral";"PT";"Sim"
"5248";"Vicentinho Alves";"SDD";"P-NRV"
"5248";"Benedito de Lira";"PP";"Sim"
"5248";"Cristovam Buarque";"PDT";"AP "
"5248";"Mozarildo Cavalcanti";"PTB";"Sim"
"5248";"Flexa Ribeiro";"PSDB";"Sim"
"5248";"Fernando Collor";"PTB";"Sim"
"5248";"Alfredo Nascimento";"PR";"P-NRV"
"5248";"Cícero Lucena";"PSDB";"P-NRV"
"5248";"Jayme Campos";"DEM";"Sim"
"5248";"João Durval";"PDT";"Sim"
"5248";"Mário Couto";"PSDB";"Sim"
"5248";"João Vicente Claudino";"PTB";"Sim"
"5248";"Jarbas Vasconcelos";"PMDB";"Sim"
"5248";"Sérgio Petecão";"PSD";"P-NRV"
"5248";"Lídice da Mata";"PSB";"LS "
"5248";"Rodrigo Rollemberg";"PSB";"Sim"
"5248";"Vital do Rêgo";"PMDB";"Sim"
"5248";"Angela Portela";"PT";"Sim"
"5248";"Eduardo Amorim";"PSC";"Sim"
"5248";"Anibal Diniz";"PT";"Sim"
"5248";"Ana Rita";"PT";"Sim"
"5248";"Cyro Miranda";"PSDB";"Sim"
"5248";"Cidinho Santos";"PR";"P-NRV"
"5248";"Zeze Perrella";"PDT";"Sim"
"5248";"Ataídes Oliveira";"PROS";"P-NRV"
"5248";"Lobão Filho";"PMDB";"P-NRV"
"5248";"Ivonete Dantas";"PMDB";"P-NRV"
"5248";"Clésio Andrade";"PMDB";"P-NRV"
"5248";"Luiz Henrique";"PMDB";"Sim"
"5248";"Ivo Cassol";"PP";"Sim"
"5248";"Gleisi Hoffmann";"PT";"Sim"
"5248";"Humberto Costa";"PT";"Sim"
"5248";"Pedro Taques";"PDT";"Sim"
"5248";"Randolfe Rodrigues";"PSOL";"Sim"
"5248";"Jorge Viana";"PT";"Sim"
"5248";"Eduardo Braga";"PMDB";"Sim"
"5248";"Paulo Davim";"PV";"Sim"
"5248";"Cássio Cunha Lima";"PSDB";"Sim"
"5248";"Acir Gurgacz";"PDT";"P-NRV"
"5248";"Wellington Dias";"PT";"Sim"
"5248";"Ana Amélia";"PP";"Sim"
"5248";"Ruben Figueiró";"PSDB";"Sim"
"5248";"Wilder Morais";"DEM";"NCom"
"5248";"Antonio Carlos Rodrigues";"PR";"P-NRV"
"5249";"José Sarney";"PMDB";"P-NRV"
"5249";"Epitácio Cafeteira";"PTB";"Sim"
"5249";"José Agripino";"DEM";"Sim"
"5249";"Renan Calheiros";"PMDB";"Presidente (art. 51 RISF)"
"5249";"Jader Barbalho";"PMDB";"Sim"
"5249";"Pedro Simon";"PMDB";"Sim"
"5249";"Paulo Paim";"PT";"Sim"
"5249";"Romero Jucá";"PMDB";"P-NRV"
"5249";"Eduardo Suplicy";"PT";"Não"
"5249";"Eunício Oliveira";"PMDB";"Sim"
"5249";"Armando Monteiro";"PTB";"Sim"
"5249";"Aécio Neves";"PSDB";"Sim"
"5249";"Vanessa Grazziotin";"PCdoB";"Sim"
"5249";"Inácio Arruda";"PCdoB";"Sim"
"5249";"José Pimentel";"PT";"Sim"
"5249";"Lúcia Vânia";"PSDB";"Sim"
"5249";"Ciro Nogueira";"PP";"Sim"
"5249";"Casildo Maldaner";"PMDB";"Sim"
"5249";"Roberto Requião";"PMDB";"MIS"
"5249";"Walter Pinheiro";"PT";"P-NRV"
"5249";"Ricardo Ferraço";"PMDB";"Sim"
"5249";"João Alberto Souza";"PMDB";"P-NRV"
"5249";"Alvaro Dias";"PSDB";"Sim"
"5249";"Maria do Carmo Alves";"DEM";"Sim"
"5249";"Francisco Dornelles";"PP";"Sim"
"5249";"Antonio Carlos Valadares";"PSB";"Sim"
"5249";"Magno Malta";"PR";"AP "
"5249";"Waldemir Moka";"PMDB";"Sim"
"5249";"Kátia Abreu";"PMDB";"Sim"
"5249";"Gim";"PTB";"Sim"
"5249";"Lindbergh Farias";"PT";"Sim"
"5249";"Paulo Bauer";"PSDB";"Sim"
"5249";"Aloysio Nunes Ferreira";"PSDB";"Sim"
"5249";"João Capiberibe";"PSB";"Sim"
"5249";"Valdir Raupp";"PMDB";"Sim"
"5249";"Marcelo Crivella";"PRB";"AP "
"5249";"Delcídio do Amaral";"PT";"Sim"
"5249";"Vicentinho Alves";"SDD";"P-NRV"
"5249";"Benedito de Lira";"PP";"Sim"
"5249";"Cristovam Buarque";"PDT";"AP "
"5249";"Mozarildo Cavalcanti";"PTB";"Sim"
"5249";"Flexa Ribeiro";"PSDB";"Sim"
"5249";"Fernando Collor";"PTB";"Sim"
"5249";"Alfredo Nascimento";"PR";"Sim"
"5249";"Cícero Lucena";"PSDB";"Sim"
"5249";"Jayme Campos";"DEM";"Sim"
"5249";"João Durval";"PDT";"Sim"
"5249";"Mário Couto";"PSDB";"Sim"
"5249";"João Vicente Claudino";"PTB";"Sim"
"5249";"Jarbas Vasconcelos";"PMDB";"Sim"
"5249";"Sérgio Petecão";"PSD";"Sim"
"5249";"Lídice da Mata";"PSB";"LS "
"5249";"Rodrigo Rollemberg";"PSB";"Sim"
"5249";"Vital do Rêgo";"PMDB";"Sim"
"5249";"Angela Portela";"PT";"Sim"
"5249";"Eduardo Amorim";"PSC";"Sim"
"5249";"Anibal Diniz";"PT";"Sim"
"5249";"Ana Rita";"PT";"Sim"
"5249";"Cyro Miranda";"PSDB";"Sim"
"5249";"Cidinho Santos";"PR";"Sim"
"5249";"Zeze Perrella";"PDT";"Sim"
"5249";"Ataídes Oliveira";"PROS";"P-NRV"
"5249";"Lobão Filho";"PMDB";"P-NRV"
"5249";"Ivonete Dantas";"PMDB";"Sim"
"5249";"Clésio Andrade";"PMDB";"Sim"
"5249";"Luiz Henrique";"PMDB";"Sim"
"5249";"Ivo Cassol";"PP";"Sim"
"5249";"Gleisi Hoffmann";"PT";"Sim"
"5249";"Humberto Costa";"PT";"Sim"
"5249";"Pedro Taques";"PDT";"Sim"
"5249";"Randolfe Rodrigues";"PSOL";"Sim"
"5249";"Jorge Viana";"PT";"Sim"
"5249";"Eduardo Braga";"PMDB";"Sim"
"5249";"Paulo Davim";"PV";"Sim"
"5249";"Cássio Cunha Lima";"PSDB";"P-NRV"
"5249";"Acir Gurgacz";"PDT";"P-NRV"
"5249";"Wellington Dias";"PT";"Sim"
"5249";"Ana Amélia";"PP";"Sim"
"5249";"Ruben Figueiró";"PSDB";"Sim"
"5249";"Wilder Morais";"DEM";"NCom"
"5249";"Antonio Carlos Rodrigues";"PR";"Sim"
