"POLITICO";"NOME_CASA";"PARTIDO";"UF";"ID";"ANO_MANDATO";"LEGISLATURA";"URL_FOTO"
"PROFESSORA RAQUEL TEIXEIRA";"PROFESSORA RAQUEL TEIXEIRA";"PSDB";"GO";"74370";"2007";"53";""
"OSMAR SERRAGLIO";"OSMAR SERRAGLIO";"PMDB";"PR";"522117";"2011";"54";"http://www.camara.gov.br/internet/deputado/bandep/73463.jpg"
"DAMIÃO FELICIANO";"DAMIAO FELICIANO";"PDT";"PB";"521713";"2011";"54";"http://www.camara.gov.br/internet/deputado/bandep/74467.jpg"
"SARNEY FILHO";"SARNEY FILHO";"PV";"MA";"520939";"2011";"54";"http://www.camara.gov.br/internet/deputado/bandep/74210.jpg"
"LIRA MAIA";"LIRA MAIA";"DEM";"PA";"526195";"2011";"54";"http://www.camara.gov.br/internet/deputado/bandep/141462.jpg"
"PAULO BAUER";"PAULO BAUER";"PSDB";"SC";"73882";"2007";"53";""
"EUGÊNIO RABELO";"EUGENIO RABELO";"PP";"CE";"141426";"2007";"53";""
"LAERCIO OLIVEIRA";"LAERCIO OLIVEIRA";"SD";"SE";"528134";"2011";"54";"http://www.camara.gov.br/internet/deputado/bandep/151208.jpg"
"GUILHERME CAMPOS";"GUILHERME CAMPOS";"PSD";"SP";"528487";"2011";"54";"http://www.camara.gov.br/internet/deputado/bandep/141447.jpg"
"FERNANDO DE FABINHO";"FERNANDO DE FABINHO";"PFL";"BA";"74063";"2007";"53";""
"JUTAHY JUNIOR";"JUTAHY JUNIOR";"PSDB";"BA";"520403";"2011";"54";"http://www.camara.gov.br/internet/deputado/bandep/74570.jpg"
"CARLITO MERSS";"CARLITO MERSS";"PT";"SC";"73469";"2007";"53";""
"BETINHO ROSADO";"BETINHO ROSADO";"PP";"RN";"522860";"2011";"54";"http://www.camara.gov.br/internet/deputado/bandep/74321.jpg"
"PINTO ITAMARATY";"PINTO ITAMARATY";"PSDB";"MA";"525428";"2011";"54";"http://www.camara.gov.br/internet/deputado/bandep/141465.jpg"
"OTAVIO LEITE";"OTAVIO LEITE";"PSDB";"RJ";"527369";"2011";"54";"http://www.camara.gov.br/internet/deputado/bandep/141515.jpg"
"CAMILO COLA";"CAMILO COLA";"PMDB";"ES";"530941";"2011";"54";"http://www.camara.gov.br/internet/deputado/bandep/141395.jpg"
"ROSE DE FREITAS";"ROSE DE FREITAS";"PMDB";"ES";"520730";"2011";"54";"http://www.camara.gov.br/internet/deputado/bandep/73507.jpg"
"VACCAREZZA";"VACCAREZZA";"PT";"NA";"NA";"NA";"NA";""
"JOSE  C. STANGARLINI";"JOSE  C. STANGARLINI";"PSDB";"NA";"NA";"NA";"NA";""
"ANDREIA ZITO";"ANDREIA ZITO";"PSDB";"RJ";"526874";"2011";"54";"http://www.camara.gov.br/internet/deputado/bandep/141379.jpg"
"GEDDEL VIEIRA LIMA";"GEDDEL VIEIRA LIMA";"PMDB";"BA";"74544";"2007";"53";""
"ANTONIO JOSÉ MEDEIROS";"ANTONIO JOSE MEDEIROS";"PT";"PI";"141388";"2007";"53";""
"RICARTE DE FREITAS";"RICARTE DE FREITAS";"PTB";"MT";"73490";"2007";"53";""
"SEBASTIÃO BALA ROCHA";"SEBASTIAO BALA ROCHA";"SD";"AP";"524745";"2011";"54";"http://www.camara.gov.br/internet/deputado/bandep/141539.jpg"
"BEL MESQUITA";"BEL MESQUITA";"PMDB";"PA";"141376";"2007";"53";""
"ARIOSTO HOLANDA";"ARIOSTO HOLANDA";"PROS";"CE";"520520";"2011";"54";"http://www.camara.gov.br/internet/deputado/bandep/74103.jpg"
"PEDRO NOVAIS";"PEDRO NOVAIS";"PMDB";"MA";"520901";"2011";"54";"http://www.camara.gov.br/internet/deputado/bandep/74207.jpg"
"ALEXANDRE CARDOSO";"ALEXANDRE CARDOSO";"PSB";"RJ";"74829";"2011";"54";""
"ALDO REBELO";"ALDO REBELO";"PCdoB";"SP";"73428";"2011";"54";""
"JOSÉ OTÁVIO GERMANO";"JOSE OTAVIO GERMANO";"PP";"RS";"523061";"2011";"54";"http://www.camara.gov.br/internet/deputado/bandep/74395.jpg"
"RAUL HENRY";"RAUL HENRY";"PMDB";"PE";"526493";"2011";"54";"http://www.camara.gov.br/internet/deputado/bandep/141523.jpg"
"FÉLIX MENDONÇA";"FELIX MENDONCA";"PFL";"BA";"74542";"2007";"53";""
"MARCONDES GADELHA";"MARCONDES GADELHA";"PSB";"PB";"74470";"2007";"53";""
"MARCIO JUNQUEIRA";"MARCIO JUNQUEIRA";"PROS";"RR";"5829212";"2011";"54";"http://www.camara.gov.br/internet/deputado/bandep/141496.jpg"
"RAIMUNDO GOMES DE MATOS";"RAIMUNDO GOMES DE MATOS";"PSDB";"CE";"520511";"2011";"54";"http://www.camara.gov.br/internet/deputado/bandep/74216.jpg"
"PAES DE LIRA";"PAES DE LIRA";"PTC";"SP";"154417";"2007";"53";""
"JOSÉ ROCHA";"JOSE ROCHA";"PR";"BA";"520341";"2011";"54";"http://www.camara.gov.br/internet/deputado/bandep/74554.jpg"
"CARLOS BEZERRA";"CARLOS BEZERRA";"PMDB";"MT";"526056";"2011";"54";"http://www.camara.gov.br/internet/deputado/bandep/141401.jpg"
"ARNALDO FARIA DE SÁ";"ARNALDO FARIA DE SA";"PTB";"SP";"523606";"2011";"54";"http://www.camara.gov.br/internet/deputado/bandep/73434.jpg"
"FERNANDO CHUCRE";"FERNANDO CHUCRE";"PSDB";"SP";"141344";"2007";"53";""
"COLBERT MARTINS";"COLBERT MARTINS";"PMDB";"BA";"5829196";"2011";"54";"http://www.camara.gov.br/internet/deputado/bandep/74230.jpg"
"RICARDO BARROS";"RICARDO BARROS";"PP";"PR";"73788";"2007";"53";""
"EDMILSON VALENTIM";"EDMILSON VALENTIM";"PCdoB";"RJ";"139187";"2007";"53";""
"JOÃO PIZZOLATTI";"JOAO PIZZOLATTI";"PP";"SC";"523257";"2011";"54";"http://www.camara.gov.br/internet/deputado/bandep/73874.jpg"
"JOSÉ EDUARDO CARDOZO";"JOSE EDUARDO CARDOZO";"PT";"SP";"74274";"2007";"53";""
"SÁ";"SA";"PL";"RR";"74341";"2007";"53";""
"PAULO HENRIQUE LUSTOSA";"PAULO HENRIQUE LUSTOSA";"PMDB";"CE";"141517";"2011";"54";""
"DIMAS RAMALHO";"DIMAS RAMALHO";"PPS";"SP";"74265";"2007";"53";""
"JOÃO OLIVEIRA";"JOAO OLIVEIRA";"PFL";"TO";"141460";"2007";"53";""
"AUGUSTO FARIAS";"AUGUSTO FARIAS";"PTB";"AL";"74441";"2007";"53";""
"WILLIAM WOO";"WILLIAM WOO";"PSDB";"SP";"141563";"2007";"53";""
"RATINHO JUNIOR";"RATINHO JUNIOR";"PSC";"PR";"526627";"2011";"54";"http://www.camara.gov.br/internet/deputado/bandep/141403.jpg"
"MARCOS ANTONIO";"MARCOS ANTONIO";"PSC";"PE";"141499";"2007";"53";""
"JEFFERSON CAMPOS";"JEFFERSON CAMPOS";"PSD";"SP";"523964";"2011";"54";"http://www.camara.gov.br/internet/deputado/bandep/74273.jpg"
"EMILIANO JOSÉ";"EMILIANO JOSE";"PT";"BA";"530660";"2011";"54";"http://www.camara.gov.br/internet/deputado/bandep/154997.jpg"
"ULDURICO PINTO";"ULDURICO PINTO";"PMN";"BA";"73809";"2007";"53";""
"SARAIVA FELIPE";"SARAIVA FELIPE";"PMDB";"MG";"521130";"2011";"54";"http://www.camara.gov.br/internet/deputado/bandep/74762.jpg"
"LEONARDO PICCIANI";"LEONARDO PICCIANI";"PMDB";"RJ";"522398";"2011";"54";"http://www.camara.gov.br/internet/deputado/bandep/74254.jpg"
"MOREIRA MENDES";"MOREIRA MENDES";"PSD";"RO";"527640";"2011";"54";"http://www.camara.gov.br/internet/deputado/bandep/141537.jpg"
"JOFRAN FREJAT";"JOFRAN FREJAT";"PTB";"DF";"73658";"2007";"53";""
"ADÃO PRETTO";"ADAO PRETTO";"PT";"RS";"73886";"2007";"53";""
"MILTON MONTI";"MILTON MONTI";"PR";"SP";"523624";"2011";"54";"http://www.camara.gov.br/internet/deputado/bandep/74787.jpg"
"LUIZ BITTENCOURT";"LUIZ BITTENCOURT";"PMDB";"GO";"74810";"2007";"53";""
"ROCHA LOURES";"ROCHA LOURES";"PMDB";"NA";"NA";"NA";"NA";""
"FERNANDO GONÇALVES";"FERNANDO GONCALVES";"PTB";"RJ";"74842";"2007";"53";""
"EDUARDO MOURA";"EDUARDO MOURA";"PPS";"MT";"150876";"2007";"53";""
"EDIGAR MÃO BRANCA";"EDIGAR MAO BRANCA";"PV";"BA";"143253";"2007";"53";""
"REGINALDO LOPES";"REGINALDO LOPES";"PT";"MG";"521043";"2011";"54";"http://www.camara.gov.br/internet/deputado/bandep/74161.jpg"
"NELSON MARQUEZELLI";"NELSON MARQUEZELLI";"PTB";"SP";"523597";"2011";"54";"http://www.camara.gov.br/internet/deputado/bandep/73553.jpg"
"WILSON SANTIAGO";"WILSON SANTIAGO";"PMDB";"PB";"74044";"2007";"53";""
"JOSÉ MENDONÇA BEZERRA";"JOSE MENDONCA BEZERRA";"PFL";"PE";"74425";"2007";"53";""
"CHICO DALTRO";"CHICO DALTRO";"PP";"MT";"158328";"2007";"53";""
"SILVIO TORRES";"SILVIO TORRES";"PSDB";"SP";"73560";"2007";"53";""
"ZÉ GERARDO";"ZE GERARDO";"PMDB";"CE";"74309";"2007";"53";""
"WASHINGTON LUIZ";"WASHINGTON LUIZ";"PT";"MA";"74490";"2007";"53";""
"MIGUEL CORRÊA";"MIGUEL CORREA";"PT";"MG";"525846";"2011";"54";"http://www.camara.gov.br/internet/deputado/bandep/141509.jpg"
"VICENTE ARRUDA";"VICENTE ARRUDA";"PROS";"CE";"520521";"2011";"54";"http://www.camara.gov.br/internet/deputado/bandep/74308.jpg"
"ARMANDO ABÍLIO";"ARMANDO ABILIO";"PTB";"PB";"74405";"2011";"54";""
"RICARDO BERZOINI";"RICARDO BERZOINI";"PT";"SP";"74793";"2007";"53";""
"OSMAR JÚNIOR";"OSMAR JUNIOR";"PCdoB";"PI";"526575";"2011";"54";"http://www.camara.gov.br/internet/deputado/bandep/141514.jpg"
"LUIZ ALBERTO";"LUIZ ALBERTO";"PT";"BA";"520290";"2011";"54";"http://www.camara.gov.br/internet/deputado/bandep/74133.jpg"
"RONALDO CAIADO";"RONALDO CAIADO";"DEM";"GO";"520831";"2011";"54";"http://www.camara.gov.br/internet/deputado/bandep/74813.jpg"
"FREIRE JÚNIOR";"FREIRE JUNIOR";"PSDB";"TO";"74189";"2007";"53";""
"PEDRO CHAVES";"PEDRO CHAVES";"PMDB";"GO";"520787";"2011";"54";"http://www.camara.gov.br/internet/deputado/bandep/74812.jpg"
"JOSÉ CHAVES";"JOSE CHAVES";"PTB";"PE";"521816";"2011";"54";"http://www.camara.gov.br/internet/deputado/bandep/74423.jpg"
"DR. PAULO CÉSAR";"DR. PAULO CESAR";"PR";"RJ";"527378";"2011";"54";"http://www.camara.gov.br/internet/deputado/bandep/147975.jpg"
"IZALCI";"IZALCI";"PSDB";"DF";"525097";"2011";"54";"http://www.camara.gov.br/internet/deputado/bandep/4931.jpg"
"FLAVIANO MELO";"FLAVIANO MELO";"PMDB";"AC";"524512";"2011";"54";"http://www.camara.gov.br/internet/deputado/bandep/141434.jpg"
"NEUCIMAR FRAGA";"NEUCIMAR FRAGA";"PL";"ES";"74165";"2007";"53";""
"ABELARDO CAMARINHA";"ABELARDO CAMARINHA";"PSB";"SP";"528580";"2011";"54";"http://www.camara.gov.br/internet/deputado/bandep/141463.jpg"
"RODRIGO ROLLEMBERG";"RODRIGO ROLLEMBERG";"PSB";"DF";"141533";"2007";"53";""
"WELLINGTON FAGUNDES";"WELLINGTON FAGUNDES";"PR";"MT";"521528";"2011";"54";"http://www.camara.gov.br/internet/deputado/bandep/73653.jpg"
"JORGE KHOURY";"JORGE KHOURY";"PFL";"BA";"74552";"2007";"53";""
"CIRO PEDROSA";"CIRO PEDROSA";"PV";"MG";"141407";"2007";"53";""
"ANTONIO CARLOS CHAMARIZ";"ANTONIO CARLOS CHAMARIZ";"PTB";"AL";"152611";"2007";"53";""
